Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
496,Leo Ortiz,br BRA,DF,Bragantino,26,1996,21.4,1011,1197,84.5,23639,10471,242,281,86.1,541,593,91.2,222,296,75.0,2,0.8,1.2,+1.2,11,122,14,5,135,Matches,53834fa2
497,Kelvin Osorio,co COL,MFDF,Cuiabá,28,1993,10.5,352,489,72.0,5634,2211,189,220,85.9,117,161,72.7,34,71,47.9,0,1.2,1.2,-1.2,18,25,16,9,53,Matches,1247ace9
498,Otávio,br BRA,MF,Atlético Mineiro,27,1994,12.9,812,892,91.0,14159,3907,339,360,94.2,394,427,92.3,64,80,80.0,0,0.1,0.2,-0.1,3,60,2,0,58,Matches,243f4a0b
499,Luiz Otávio,br BRA,DF,Ceará,33,1988,21.2,674,806,83.6,12600,5155,244,274,89.1,374,421,88.8,50,83,60.2,0,0.4,0.6,-0.4,6,24,1,0,44,Matches,ed976dd9
500,Rómulo Otero,ve VEN,MFFW,Fortaleza,29,1992,2.6,80,122,65.6,1456,628,42,48,87.5,22,31,71.0,12,34,35.3,1,0.6,0.5,+0.4,7,18,6,0,18,Matches,96fdc3c0
501,Luis Oyama,br BRA,MF,Botafogo (RJ),25,1997,12.0,472,580,81.4,9158,2728,181,222,81.5,213,252,84.5,67,82,81.7,0,0.8,0.6,-0.8,11,64,10,1,73,Matches,ed0c094b
502,Pablo,br BRA,FW,Atl Paranaense,29,1992,16.6,268,384,69.8,4273,856,143,189,75.7,88,110,80.0,25,35,71.4,1,1.9,1.4,-0.9,23,23,4,0,31,Matches,1ad394c5
503,Pablo,br BRA,DF,Flamengo,30,1991,21.6,1067,1193,89.4,20436,7581,381,407,93.6,572,612,93.5,104,150,69.3,0,0.6,0.6,-0.6,3,41,1,0,53,Matches,29d8ad3f
504,Juan Pablo,br BRA,DFMF,Goiás,19,2002,1.9,50,70,71.4,722,301,26,32,81.3,20,30,66.7,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,4,Matches,f40465af
505,Juan Pablo Ramírez,co COL,MFFW,América (MG),24,1997,4.5,153,199,76.9,2521,732,86,100,86.0,45,56,80.4,16,31,51.6,1,0.4,0.3,+0.6,7,17,5,0,26,Matches,20a17a29
